 0.620,-0.221,0.076,-0.257,0.211,0.376,-2.084,0.020,4.002,-4.835,1.327,-2.159,0
 0.615,-0.219,0.072,-0.263,0.218,0.372,-2.092,0.020,4.108,-4.990,1.353,-2.236,0
 0.611,-0.218,0.068,-0.269,0.225,0.369,-2.099,0.020,4.210,-5.142,1.379,-2.311,0
 0.606,-0.217,0.064,-0.275,0.232,0.367,-2.106,0.020,4.309,-5.290,1.403,-2.384,0
 0.602,-0.215,0.060,-0.280,0.238,0.364,-2.113,0.020,4.405,-5.436,1.426,-2.456,0
 0.597,-0.214,0.056,-0.286,0.244,0.363,-2.119,0.020,4.499,-5.577,1.448,-2.527,0
 0.593,-0.213,0.052,-0.291,0.249,0.362,-2.126,0.020,4.589,-5.716,1.470,-2.596,0
 0.589,-0.212,0.049,-0.296,0.253,0.362,-2.133,0.020,4.677,-5.851,1.490,-2.664,0
 0.585,-0.211,0.045,-0.301,0.257,0.362,-2.140,0.020,4.763,-5.983,1.510,-2.730,0
 0.581,-0.210,0.041,-0.306,0.260,0.363,-2.146,0.020,4.846,-6.111,1.529,-2.794,0
 0.577,-0.209,0.038,-0.310,0.262,0.364,-2.153,0.019,4.927,-6.237,1.547,-2.857,0
 0.573,-0.208,0.035,-0.315,0.264,0.367,-2.160,0.019,5.006,-6.359,1.565,-2.919,0
 0.570,-0.207,0.031,-0.319,0.266,0.370,-2.167,0.019,5.082,-6.478,1.583,-2.979,0
 0.566,-0.206,0.028,-0.323,0.267,0.374,-2.174,0.019,5.156,-6.594,1.600,-3.037,0
 0.563,-0.205,0.025,-0.327,0.267,0.378,-2.182,0.019,5.229,-6.707,1.616,-3.094,0
 0.559,-0.204,0.022,-0.331,0.267,0.384,-2.189,0.019,5.299,-6.817,1.632,-3.149,0
 0.556,-0.204,0.019,-0.335,0.266,0.390,-2.197,0.018,5.368,-6.924,1.647,-3.203,0
 0.553,-0.203,0.016,-0.338,0.264,0.396,-2.204,0.018,5.434,-7.028,1.662,-3.256,0
 0.550,-0.202,0.013,-0.342,0.262,0.404,-2.212,0.018,5.499,-7.129,1.677,-3.307,0
 0.547,-0.201,0.011,-0.345,0.260,0.412,-2.220,0.018,5.562,-7.228,1.691,-3.356,0
 0.544,-0.201,0.008,-0.349,0.257,0.420,-2.228,0.018,5.624,-7.324,1.705,-3.405,0
 0.541,-0.200,0.005,-0.352,0.253,0.429,-2.236,0.017,5.683,-7.417,1.718,-3.452,0
 0.538,-0.200,0.003,-0.355,0.249,0.439,-2.244,0.017,5.741,-7.508,1.731,-3.497,0
 0.535,-0.199,0.000,-0.358,0.245,0.449,-2.252,0.017,5.798,-7.596,1.744,-3.542,0
 0.533,-0.198,-0.002,-0.361,0.240,0.460,-2.260,0.017,5.852,-7.681,1.756,-3.585,0
 0.530,-0.198,-0.004,-0.364,0.235,0.471,-2.268,0.016,5.906,-7.765,1.768,-3.627,0
 0.528,-0.197,-0.006,-0.366,0.229,0.483,-2.276,0.016,5.957,-7.846,1.780,-3.668,0
 0.525,-0.197,-0.009,-0.369,0.223,0.495,-2.284,0.016,6.008,-7.924,1.791,-3.708,0
 0.523,-0.196,-0.011,-0.371,0.216,0.507,-2.292,0.016,6.056,-8.001,1.802,-3.746,0
 0.521,-0.196,-0.013,-0.374,0.209,0.520,-2.300,0.015,6.104,-8.075,1.812,-3.784,0
 0.518,-0.196,-0.015,-0.376,0.202,0.533,-2.308,0.015,6.150,-8.147,1.823,-3.820,0
 0.516,-0.195,-0.017,-0.379,0.195,0.547,-2.316,0.015,6.194,-8.217,1.833,-3.856,0
 0.514,-0.195,-0.019,-0.381,0.187,0.560,-2.324,0.015,6.238,-8.285,1.842,-3.890,0
 0.512,-0.194,-0.021,-0.383,0.179,0.574,-2.332,0.014,6.280,-8.351,1.851,-3.923,0
 0.510,-0.194,-0.022,-0.385,0.170,0.588,-2.340,0.014,6.320,-8.416,1.860,-3.956,0
 0.508,-0.194,-0.024,-0.387,0.161,0.602,-2.347,0.014,6.360,-8.478,1.869,-3.987,0
 0.507,-0.193,-0.026,-0.389,0.152,0.617,-2.354,0.014,6.398,-8.538,1.878,-4.018,0
 0.505,-0.193,-0.027,-0.391,0.143,0.631,-2.362,0.013,6.435,-8.597,1.886,-4.048,0
 0.503,-0.193,-0.029,-0.393,0.134,0.646,-2.369,0.013,6.471,-8.654,1.894,-4.076,0
 0.501,-0.192,-0.031,-0.395,0.124,0.661,-2.376,0.013,6.506,-8.709,1.901,-4.104,0
 0.500,-0.192,-0.032,-0.397,0.114,0.675,-2.383,0.013,6.539,-8.762,1.908,-4.131,0
 0.498,-0.192,-0.033,-0.399,0.104,0.690,-2.389,0.012,6.572,-8.814,1.916,-4.158,0
 0.497,-0.192,-0.035,-0.400,0.093,0.705,-2.396,0.012,6.604,-8.865,1.922,-4.183,0
 0.495,-0.191,-0.036,-0.402,0.083,0.720,-2.402,0.012,6.634,-8.913,1.929,-4.208,0
 0.494,-0.191,-0.038,-0.403,0.072,0.735,-2.408,0.012,6.664,-8.961,1.935,-4.232,0
 0.492,-0.191,-0.039,-0.405,0.061,0.750,-2.414,0.012,6.693,-9.007,1.942,-4.255,0
 0.491,-0.191,-0.040,-0.406,0.050,0.765,-2.420,0.011,6.721,-9.051,1.947,-4.278,0
 0.490,-0.190,-0.041,-0.408,0.038,0.780,-2.425,0.011,6.747,-9.094,1.953,-4.300,0
 0.488,-0.190,-0.042,-0.409,0.027,0.794,-2.430,0.011,6.774,-9.136,1.959,-4.321,0
 0.487,-0.190,-0.044,-0.411,0.015,0.809,-2.435,0.011,6.799,-9.176,1.964,-4.342,0
 0.486,-0.190,-0.045,-0.412,0.003,0.824,-2.440,0.010,6.823,-9.216,1.969,-4.362,0
 0.485,-0.190,-0.046,-0.413,-0.009,0.838,-2.445,0.010,6.847,-9.253,1.974,-4.381,0
 0.484,-0.190,-0.047,-0.415,-0.021,0.853,-2.449,0.010,6.870,-9.290,1.979,-4.400,0
 0.483,-0.189,-0.048,-0.416,-0.033,0.867,-2.453,0.010,6.892,-9.326,1.984,-4.418,0
 0.482,-0.189,-0.049,-0.417,-0.045,0.881,-2.457,0.010,6.913,-9.360,1.988,-4.435,0
 0.481,-0.189,-0.050,-0.418,-0.058,0.895,-2.461,0.009,6.934,-9.394,1.993,-4.452,0
 0.480,-0.189,-0.051,-0.419,-0.071,0.909,-2.464,0.009,6.954,-9.426,1.997,-4.469,0
 0.479,-0.189,-0.051,-0.420,-0.083,0.923,-2.467,0.009,6.973,-9.457,2.001,-4.485,0
 0.478,-0.189,-0.052,-0.421,-0.096,0.937,-2.470,0.009,6.992,-9.487,2.005,-4.500,0
 0.477,-0.189,-0.053,-0.422,-0.109,0.950,-2.472,0.009,7.010,-9.516,2.009,-4.515,0
 0.476,-0.188,-0.054,-0.423,-0.122,0.964,-2.475,0.008,7.028,-9.545,2.013,-4.529,0
 0.475,-0.188,-0.055,-0.424,-0.135,0.977,-2.476,0.008,7.045,-9.572,2.016,-4.543,0
 0.474,-0.188,-0.055,-0.425,-0.149,0.990,-2.478,0.008,7.061,-9.598,2.020,-4.557,0
 0.474,-0.188,-0.056,-0.426,-0.162,1.002,-2.480,0.008,7.077,-9.624,2.023,-4.570,0
 0.473,-0.188,-0.057,-0.427,-0.175,1.015,-2.481,0.008,7.092,-9.648,2.026,-4.582,0
 0.472,-0.188,-0.057,-0.428,-0.189,1.027,-2.481,0.007,7.107,-9.672,2.029,-4.594,0
 0.471,-0.188,-0.058,-0.429,-0.203,1.040,-2.482,0.007,7.122,-9.695,2.032,-4.606,0
 0.471,-0.188,-0.059,-0.430,-0.216,1.051,-2.482,0.007,7.135,-9.718,2.035,-4.617,0
 0.470,-0.188,-0.059,-0.431,-0.230,1.063,-2.482,0.007,7.149,-9.739,2.038,-4.628,0
